rainfall,humidity,temperature,crop
1174.7,53.0,27.5,Onions
227.0,42.0,14.1,Rice
962.0,55.8,16.7,Rice
1254.5,74.8,13.4,Bananas
1517.6,63.2,19.4,Cucumber
1380.8,49.9,17.2,Cucumber
587.0,72.2,11.5,Bananas
809.8,51.6,10.9,Millet
1928.8,62.8,19.1,Spinach
395.6,59.6,33.4,Watermelon
1785.9,43.4,10.7,Beans
1706.3,69.4,15.4,Green Grams
1770.7,69.1,27.9,Millet
1263.6,85.6,34.3,Peas
1509.0,68.5,11.9,Watermelon
490.8,56.8,29.3,Garlic
755.6,61.9,32.5,Cassava
904.8,75.5,12.7,Cabbage
687.2,78.4,32.9,Pineapple
1410.8,74.5,19.8,Garlic
1943.6,61.1,27.6,Spinach
461.5,66.6,17.1,Sorghum
686.4,89.3,26.7,Carrots
1040.3,58.0,14.2,Peas
1782.3,53.8,17.4,Pawpaw
603.1,55.8,30.7,Bananas
1632.0,88.0,26.1,Kale
431.6,53.0,19.2,Sweet Potatoes
483.9,79.0,19.0,Chilies
383.6,60.8,16.9,Pawpaw
854.6,60.8,34.1,Sweet Potatoes
1143.0,62.6,28.3,Irish Potatoes
573.6,84.6,30.2,Sorghum
1632.3,57.0,26.0,Onions
1548.0,88.5,21.5,Onions
1906.1,41.7,14.3,Pumpkin
344.3,66.0,29.8,Pawpaw
1224.7,71.8,31.6,Sorghum
1313.8,87.7,22.5,Millet
1352.0,54.5,28.3,Watermelon
645.6,70.0,30.6,Onions
545.5,85.2,34.2,Sweet Potatoes
570.1,49.7,20.4,Watermelon
1506.1,75.3,34.7,Pineapple
456.5,70.3,34.3,Irish Potatoes
1310.6,87.2,30.8,Tomatoes
695.6,50.3,12.0,Spinach
431.9,47.7,21.2,Maize
710.4,67.4,23.6,Garlic
1440.9,48.4,26.1,Peas
1435.8,66.8,17.0,Sweet Potatoes
1528.3,77.3,30.2,Cucumber
1469.1,84.8,22.4,Lentils
1690.2,59.6,20.6,Cowpeas
1752.1,80.2,34.7,Sweet Potatoes
1798.5,81.3,11.6,Peas
1201.8,78.9,21.8,Sorghum
551.0,48.3,23.8,Millet
1429.6,54.7,30.9,Pineapple
1960.3,77.2,15.3,Kale
1117.9,86.8,29.1,Wheat
1569.0,82.0,26.5,Garlic
452.6,60.3,12.0,Tomatoes
1869.7,87.1,23.5,Pawpaw
1353.5,78.3,19.0,Lentils
1994.7,44.0,20.6,Pumpkin
583.4,53.0,25.1,Rice
1612.1,52.0,29.9,Spinach
1871.6,85.3,29.9,Wheat
1161.2,53.3,14.4,Cowpeas
1598.8,67.1,14.3,Pawpaw
819.4,79.5,25.6,Groundnuts
803.4,67.1,23.2,Sorghum
336.4,52.8,23.4,Pumpkin
1941.0,73.8,34.8,Wheat
1515.7,82.1,16.7,Maize
1986.2,75.1,22.4,Maize
1483.7,69.2,22.5,Lentils
660.1,57.6,22.9,Irish Potatoes
453.5,56.9,22.0,Onions
1739.4,62.8,18.6,Cabbage
1092.8,53.0,25.3,Rice
1458.9,87.5,21.7,Wheat
649.0,69.3,19.1,Garlic
1902.8,69.3,27.4,Cassava
862.9,74.3,25.6,Cassava
1830.4,75.4,25.5,Soybeans
767.5,45.9,21.5,Groundnuts
1905.7,68.0,33.0,Beans
1280.3,56.8,13.7,Sweet Potatoes
1229.3,78.2,22.4,Carrots
1168.4,43.2,17.2,Irish Potatoes
1904.4,54.5,12.0,Tomatoes
491.7,79.0,15.9,Rice
1513.5,83.4,31.1,Pawpaw
572.7,84.7,26.3,Kale
1119.1,68.7,25.0,Cassava
435.0,79.9,11.9,Beans
447.1,42.2,18.8,Garlic
1898.3,81.7,15.2,Sweet Potatoes
1571.0,42.1,11.5,Cucumber
586.6,75.4,26.9,Millet
358.6,76.4,17.8,Chilies
1405.3,89.1,12.6,Sunflower
1742.6,75.3,11.6,Pumpkin
892.8,86.2,32.0,Lentils
1361.5,83.8,12.5,Green Grams
1280.2,45.9,22.6,Wheat
1991.7,62.6,31.6,Kale
426.7,52.2,18.4,Carrots
1723.4,79.7,20.7,Carrots
1481.0,65.6,32.0,Onions
