Rainfall,Humidity,Temperature,pH,Label
480.99,76.06,20.22,4.88,Watermelon
368.92,67.53,22.87,8.01,Onions
443.49,74.7,17.62,5.62,Sorghum
617.27,63.46,25.02,6.47,Carrots
499.53,56.34,16.49,5.72,Cabbage
326.99,75.91,33.0,5.12,Irish Potatoes
754.6,46.34,33.29,7.71,Tomatoes
1206.67,86.98,33.5,6.47,Lentils
308.06,66.56,17.4,5.71,Bananas
629.03,71.52,23.98,6.57,Rice
1498.05,70.08,19.58,5.62,Carrots
1058.34,52.29,23.98,7.27,Onions
1353.62,45.13,34.98,8.41,Lentils
1487.51,88.3,33.94,6.99,Watermelon
379.35,60.4,26.26,8.22,Peas
431.86,44.59,14.38,7.17,Maize
458.88,89.0,29.33,5.43,Wheat
407.72,83.14,29.52,7.84,Beans
1199.5,60.17,14.9,5.77,Kale
913.95,75.33,14.67,6.82,Bananas
624.72,78.22,21.39,8.05,Onions
531.54,80.38,22.65,7.51,Bananas
1428.62,57.41,16.04,4.8,Sweet Potatoes
1214.48,82.38,14.43,8.27,Cassava
490.16,76.82,25.2,6.59,Lentils
782.88,58.75,13.49,8.42,Onions
1253.13,60.57,22.75,4.74,Cassava
1274.48,41.0,22.21,4.99,Sweet Potatoes
428.02,81.61,22.66,6.27,Cassava
1246.72,78.53,16.93,6.83,Lentils
1257.88,45.31,19.37,7.7,Onions
699.92,43.58,12.53,6.85,Cowpeas
1495.63,69.77,33.21,7.22,Tomatoes
616.99,71.64,12.3,8.03,Carrots
1431.44,73.87,17.96,8.18,Beans
911.88,72.06,21.62,5.42,Bananas
381.38,83.24,28.67,7.32,Beans
1154.17,80.01,28.99,4.85,Sweet Potatoes
313.96,73.79,25.22,4.57,Tomatoes
695.36,65.49,17.1,5.31,Rice
734.07,58.07,15.38,6.03,Lentils
582.61,73.24,14.43,6.38,Carrots
358.54,66.71,22.02,8.35,Rice
1188.11,57.79,30.05,6.53,Sorghum
355.65,52.74,25.55,7.38,Sweet Potatoes
1007.02,59.86,12.71,4.99,Rice
648.43,82.81,20.94,5.4,Watermelon
398.7,41.12,33.4,8.01,Irish Potatoes
348.94,48.14,22.34,7.24,Bananas
332.83,53.45,16.81,7.37,Cowpeas
887.13,83.77,16.13,7.41,Wheat
1300.76,79.48,21.27,7.04,Carrots
799.73,41.17,32.72,6.39,Lentils
1270.15,43.26,34.45,5.57,Kale
1150.28,76.76,31.44,6.5,Tomatoes
494.49,58.48,22.2,7.44,Cabbage
542.34,53.5,34.44,5.18,Millet
912.93,76.65,12.66,6.55,Sweet Potatoes
966.89,75.9,14.68,5.12,Tomatoes
1136.55,52.99,14.37,5.68,Lentils
758.65,60.88,12.74,4.86,Bananas
313.15,42.84,12.49,6.23,Lentils
1350.72,85.48,12.32,5.99,Rice
1298.82,61.67,23.22,8.08,Rice
1087.14,86.91,32.34,5.6,Cowpeas
924.94,45.36,30.81,5.26,Carrots
881.66,53.65,12.95,5.34,Wheat
404.86,53.98,18.79,6.47,Rice
1156.11,76.12,11.68,6.79,Cabbage
1416.65,46.56,17.68,7.43,Kale
946.49,52.09,25.38,7.16,Millet
830.03,51.8,22.1,7.77,Rice
812.62,45.27,20.57,6.48,Irish Potatoes
